ID apteki;Nazwa;Status;Numer zezwolenia;Data wydania zezwolenia;Data cofni_cia zezwolenia;Data wygaszenia zezwolenia;Data uprawomocnienia zezwolenia;Data uprawomocnienia cofni_cia/wygaszenia zezwolenia;Data nadania rygoru natychmiastowej wykonalno_ci dla cofni_cia zezwolenia;Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia;Wojew—dztwo;Powiat;Gmina;Rodzaj ulicy;Ulica;Numer Budynku;Numer Lokalu;Miejscowo__;Kod pocztowy;Poczta;Simc;Terc;Ulic
1105640;Dzia_ Farmacji Szpitalnej Szpitala Specjalistycznego MATOPAT Niepublicznego Zak_adu Opieki Zdrowotnej w Toruniu;aktywna;WIF.T.4034/3/03;2003-04-10;;;2003-04-26;;;;kujawsko-pomorskie;Toru_;Toru_ (gmina miejska);ul.;Storczykowa;8;;Toru_;87-100;;982724;463011;21246
1198320;Dzia_ farmacji szpitalnej SZPITALA MEDFEMINA;aktywna;WIF-WR-I.8540.1.9.2015;2015-11-10;;;2015-11-10;;;;DOLNO_L_SKIE;Wroc_aw;Wroc_aw-Krzyki (delegatura);ul.;Borowska;262;;Wroc_aw;50-558;Wroc_aw;986544;264039;1866
1186824;Dzia_ Farmacji Szpitalnej Szpitala i Ambulatorium z Izb_ Chorych Zak_adu Karnego w Potulicach ;aktywna;WIFBY-KK.8540.1.2015;2015-05-19;;;2015-06-02;;;;KUJAWSKO-POMORSKIE;nakielski;Nak_o nad Noteci_ (obszar wiejski w gminie miejsko-wiejskiej);al.;Parkowa;1;;Potulice;89-120;Potulice;92491;410035;15708
1137602;Dzia_ Farmacji Szpitalnej Samodzielnego Publicznego Zak_adu Opieki Zdrowotnej Zak_ad Piel_gnacyjno-Opieku_czy w _winouj_ciu;aktywna;FASZ.8540.2.12.2013.KP;2013-12-12;;;2013-12-12;;;;ZACHODNIOPOMORSKIE;_winouj_cie;_winouj_cie (gmina miejska);ul.;Stefana _eromskiego;21;;_winouj_cie;72-600;_winouj_cie;979722;3263011;26469
1034230;Dzia_ Farmacji Szpitalnej przy Oddzia_ach Lecznictwa Stacjonarnego;aktywna;decyzja nr 3/DFS/2012;2012-03-14;;;2012-03-14;;;;pomorskie;Sopot;;ul.;Chrobrego;6;8;Sopot;81-756;;;;
1105633;Dzia_ Farmacji Szpitalnej Prywatnego Centrum Chirurgii Jacek Winczakiewicz Marek Borkiewicz;aktywna;WIFBY-KK.8540.16.2012;2012-11-30;;;2012-12-17;;;;kujawsko-pomorskie;Toru_;Toru_ (gmina miejska);ul.;Hugona Ko___taja;10a;;Toru_;87-100;;982724;463011;9003
1178141;"Dzia_ Farmacji szpitalnej NZOZ ""RehStab""";aktywna;FAKR-I.8540.19.2014;2014-09-11;;;2014-09-11;;;;MA_OPOLSKIE;limanowski;Limanowa (gmina miejska);ul.;J—zefa Pi_sudskiego;53;;Limanowa;34-600;Limanowa;960510;1207011;16264
1193256;"DZIA_ FARMACJI SZPITALNEJ NZOZ ""CLINICA 'GRUSZCZYCE";aktywna;F_-SI.8540.2.2013;2013-03-11;;;;;;;_îDZKIE;sieradzki;B_aszki (obszar wiejski w gminie miejsko-wiejskiej);;;111;;Gruszczyce;98-235;B_aszki;697900;1014025;
1105698;"Dzia_ Farmacji Szpitalnej Niepublicznego Zak_adu Us_ug Medycznych ""BRA-MED"" w Lipnie";aktywna;1/04 (WIF.W.4034/2/04);2004-01-28;;;2004-02-16;;;;kujawsko-pomorskie;lipnowski;Lipno;ul.;Ksi__ycowa;18;;Lipno;87-600;;985830;408011;10268
1105738;Dzia_ Farmacji Szpitalnej Niepublicznego Zak_adu Opieki Zdrowotnej Specjalistycznego Szpitala Rehabilitacyjnego BARSKA;aktywna;1/2011 (WIF.BY.4034/1/10);2011-01-14;;;2011-02-01;;;;kujawsko-pomorskie;w_oc_awski;W_oc_awek;ul.;Barska;13;;W_oc_awek;87-800;;;;
1105723;"Dzia_ Farmacji Szpitalnej Niepublicznego Zak_ad Opieki Zdrowotnej Szpitala Specjalistycznego ""Barska"" we W_oc_awku";aktywna;3/2006 (WIF.W.4034/2/06);2006-10-16;;;2006-11-02;;;;kujawsko-pomorskie;w_oc_awski;W_oc_awek;ul.;Barska;13;;W_oc_awek;87-800;;;;
1193387;DZIA_ FARMACJI SZPITALNEJ ARTROMEDICAL;aktywna;F_-II.8540.2.2013;2013-01-22;;;2013-02-05;;;;_îDZKIE;Piotrk—w Trybunalski;Piotrk—w Trybunalski (gmina miejska);ul.;Rakowska;15;;Piotrk—w Trybunalski;97-300;;967430;1062011;18432
1165206;"Dzia_ Farmacji Szpitalnej "" Uro-Laser"" W.Zwierzy_ski i M.Drozd";aktywna;WIFG.8540.1.6.2013.ACH;2013-06-20;;;2013-06-20;;;;lubuskie;zielonog—rski;Sulech—w;ul.;Zwyci_stwa;1;;Sulech—w;66-100;;988595;809064;26326
1034179;Dzia_ Farmacji Szpitalnej  w Hospicjum Stacjonarnym;aktywna;;2004-08-02;;;2004-08-02;;;;pomorskie;Sopot;;al.;Niepodleg_o_ci;632;;Sopot;81-855;;;;
1034225;Dzia_ Farmacji Szpitalnej;aktywna;decyzja nr 2/DFS/2012;2012-03-13;;;2012-03-13;;;;pomorskie;Gda_sk;;ul.;Piekarnicza;12;;Gda_sk;80-126;;;;
